REGULATOR	TARGET
YJR060W	YNL277W-A
YJR060W	YNL282W
YJR060W	YNR013C
YJR060W	YNR014W
YJR060W	YNR019W
YJR060W	YOL011W
YJR060W	YOL012C
YJR060W	YOL064C
YJR060W	YOL100W
YJR060W	YOR054C
YJR060W	YOR064C
YJR060W	YOR065W
YJR060W	YOR086C
YJR060W	YOR087W
YJR060W	YOR098C
YJR060W	YOR099W
YJR060W	YOR298C-A
YJR060W	YOR299W
YJR060W	YOR327C
YJR060W	YOR328W
YJR060W	YOR376W-A
YJR060W	YPL018W
YJR060W	YPL019C
YJR060W	YPL170W
YJR060W	YPL171C
YJR060W	YPL189C-A
YJR060W	YPL189W
YJR060W	YPL190C
YJR060W	YPL206C
YJR060W	YPL235W
YJR060W	YPL236C
YJR060W	YPL250C
YJR060W	YPL250W-A
YJR060W	YPR072W
YJR060W	YPR167C
YJR060W	YPR168W
YMR182C	YBL029C-A
YMR182C	YBL029W
YMR182C	YBR032W
YMR182C	YBR112C
YMR182C	YBR126C
YMR182C	YBR126W-A
YMR182C	YBR126W-B
YMR182C	YBR201C-A
YMR182C	YBR202W
YMR182C	YBR214W
YMR182C	YBR230C
YMR182C	YBR230W-A
YMR182C	YDL079C
YMR182C	YDL246C
YMR182C	YDR001C
YMR182C	YDR002W
YMR182C	YDR133C
YMR182C	YDR134C
YMR182C	YDR171W
YMR182C	YDR342C
YMR182C	YDR343C
YMR182C	YDR344C
YMR182C	YDR406W
YMR182C	YDR516C
YMR182C	YDR517W
YMR182C	YDR540C
YMR182C	YEL007W
YMR182C	YEL008C-A
YMR182C	YEL068C
YMR182C	YEL069C
YMR182C	YEL070W
YMR182C	YER011W
YMR182C	YER053C
YMR182C	YER067W
YMR182C	YER088C
YMR182C	YER088W-B
YMR182C	YFL051C
YMR182C	YFL052W
YMR182C	YFR015C
YMR182C	YFR053C
YMR182C	YGL036W
YMR182C	YGL037C
YMR182C	YGL096W
YMR182C	YGL106W
YMR182C	YGL107C
YMR182C	YGL158W
YMR182C	YGR086C
YMR182C	YGR249W
YMR182C	YGR287C
YMR182C	YHL028W
YMR182C	YHL029C
YMR182C	YHR210C
YMR182C	YIL056W
YMR182C	YIL099W
YMR182C	YIL100C-A
